"median_house_value","total_bedrooms","total_rooms","bedroom_per_room"
"57100","300","1186","0.25"
"57100","381","1721","0.22"
"57100","669","3254","0.21"
"57100","352","1792","0.20"
"57100","255","1340","0.19"
"57100","448","2379","0.19"
"57200","564","2351","0.24"
"57200","338","1479","0.23"
"57300","656","2332","0.28"
"57300","469","2185","0.21"
"57400","198","832","0.24"
"57400","411","1808","0.23"
"57400","447","2044","0.22"
"57400","362","1667","0.22"
"57400","792","3606","0.22"
"57400","330","1470","0.22"
"57400","477","2352","0.20"
"57500","651","1999","0.33"
"57500","363","1183","0.31"
"57500","361","1390","0.26"
"57500","426","1673","0.25"
"57500","110","434","0.25"
"57500","400","1731","0.23"
"57500","506","2235","0.23"
"57500","553","2380","0.23"
"57500","801","3643","0.22"
"57500","480","2171","0.22"
"57500","40","178","0.22"
"57500","86","414","0.21"
"57500","216","1076","0.20"
"57500","432","2124","0.20"
"57600","324","1313","0.25"
"57600","416","1775","0.23"
"57600","353","1551","0.23"
"57600","741","3372","0.22"
"57600","206","969","0.21"
"57600","383","1947","0.20"
"57600","284","1432","0.20"
"57700","217","874","0.25"
"57700","685","2806","0.24"
"57700","712","3163","0.23"
"57700","260","1175","0.22"
"57800","380","1702","0.22"
"57800","417","1908","0.22"
"57800","422","1961","0.22"
"57800","537","2548","0.21"
"57900","212","859","0.25"
"57900","149","598","0.25"
"57900","245","1064","0.23"
"57900","103","442","0.23"
"57900","179","825","0.22"
"57900","304","1435","0.21"
"57900","356","1799","0.20"
"57900","696","3827","0.18"
"58000","272","991","0.27"
"58000","602","2396","0.25"
"58000","325","1354","0.24"
"58000","422","1931","0.22"
"58000","683","3041","0.22"
"58000","205","945","0.22"
"58000","664","3127","0.21"
"58000","460","2276","0.20"
"58000","131","658","0.20"
"58000","490","2409","0.20"
"58000","413","2158","0.19"
"58100","331","1218","0.27"
"58100","376","1519","0.25"
"58100","409","1623","0.25"
"58100","220","918","0.24"
"58100","215","1032","0.21"
"58100","256","1315","0.19"
"58200","542","2251","0.24"
"58200","176","852","0.21"
"58200","187","883","0.21"
"58200","205","1001","0.20"
"58200","155","785","0.20"
"58300","438","1178","0.37"
"58300","214","875","0.24"
"58300","308","1278","0.24"
"58300","198","827","0.24"
"58300","628","2581","0.24"
"58300","166","736","0.23"
"58400","1175","4789","0.25"
"58400","449","1788","0.25"
"58400","455","1972","0.23"
"58400","337","1514","0.22"
"58400","251","1175","0.21"
"58500","440","1625","0.27"
"58500","398","1885","0.21"
"58500","842","3972","0.21"
"58500","367","1728","0.21"
"58600","512","1713","0.30"
"58600","782","3107","0.25"
"58600","382","1615","0.24"
"58600","472","2057","0.23"
"58600","695","3599","0.19"
"58700","470","2093","0.22"
"58700","502","2323","0.22"
"58700","518","2332","0.22"
"58700","533","2679","0.20"
"58800","128","382","0.34"
"58800","258","826","0.31"
"58800","607","2360","0.26"
"58800","795","3242","0.25"
"58800","456","1912","0.24"
"58800","538","2230","0.24"
"58800","43","186","0.23"
"58800","309","1584","0.20"
"58800","250","1239","0.20"
"58900","326","1195","0.27"
"58900","399","1783","0.22"
"58900","375","1815","0.21"
"59000","165","557","0.30"
"59000","422","1590","0.27"
"59000","370","1469","0.25"
"59000","488","2143","0.23"
"59000","593","2625","0.23"
"59000","422","1833","0.23"
"59000","472","2081","0.23"
"59000","340","1631","0.21"
"59100","326","1408","0.23"
"59100","578","2488","0.23"
"59100","466","2008","0.23"
"59100","373","1675","0.22"
"59100","462","2227","0.21"
"59100","257","1257","0.20"
"59200","243","796","0.31"
"59200","194","772","0.25"
"59200","346","1677","0.21"
"59200","384","1797","0.21"
"59200","473","2204","0.21"
"59200","774","3832","0.20"
"59200","136","779","0.17"
"59300","288","1210","0.24"
"59300","424","1741","0.24"
"59300","184","819","0.22"
"59300","389","1911","0.20"
"59400","459","1820","0.25"
"59400","416","1672","0.25"
"59400","442","1839","0.24"
"59400","514","2354","0.22"
"59400","494","2628","0.19"
"59400","342","1814","0.19"
"59500","405","1576","0.26"
"59500","433","2121","0.20"
"59500","272","1387","0.20"
"59600","916","2828","0.32"
"59600","1021","4289","0.24"
"59600","221","1004","0.22"
"59600","379","1790","0.21"
"59600","418","2236","0.19"
"59700","252","1106","0.23"
"59700","176","801","0.22"
"59700","276","1338","0.21"
"59800","524","2077","0.25"
"59800","342","1513","0.23"
"59800","640","2842","0.23"
"59800","379","1745","0.22"
"59800","315","1534","0.21"
"59800","324","1610","0.20"
"59800","789","3938","0.20"
"59900","374","1609","0.23"
"59900","328","1656","0.20"
"60000","316","661","0.48"
"60000","35","90","0.39"
"60000","120","319","0.38"
"60000","75","227","0.33"
"60000","495","1689","0.29"
"60000","43","158","0.27"
"60000","132","512","0.26"
"60000","4","16","0.25"
"60000","472","1856","0.25"
"60000","323","1508","0.21"
"60000","332","1732","0.19"
"60000","202","1082","0.19"
"60000","34","189","0.18"
"60200","410","1610","0.25"
"60200","577","2507","0.23"
"60200","814","3804","0.21"
"60200","433","2440","0.18"
"60200","319","1740","0.18"
"60300","545","2231","0.24"
"60300","586","2481","0.24"
"60300","517","2242","0.23"
"60300","115","499","0.23"
"60300","435","2075","0.21"
"60400","693","2266","0.31"
"60400","237","981","0.24"
"60400","647","2671","0.24"
"60400","403","1712","0.24"
"60400","515","2316","0.22"
"60400","557","2596","0.21"
"60400","575","2710","0.21"
"60500","683","2703","0.25"
"60500","382","1720","0.22"
"60500","384","1865","0.21"
"60600","395","1513","0.26"
"60600","625","2399","0.26"
"60600","343","1481","0.23"
"60600","523","2278","0.23"
"60600","265","1240","0.21"
"60600","772","3611","0.21"
"60600","496","2456","0.20"
"60600","535","2739","0.20"
"60700","518","2335","0.22"
"60700","388","1838","0.21"
"60700","316","1676","0.19"
"60800","859","3247","0.26"
"60800","109","452","0.24"
"60800","597","2610","0.23"
"60800","493","2191","0.23"
"60800","966","4203","0.23"
"60800","444","2034","0.22"
"60800","262","1327","0.20"
"60800","306","1566","0.20"
"60900","309","985","0.31"
"60900","222","749","0.30"
"60900","178","705","0.25"
"60900","696","3326","0.21"
"60900","355","1729","0.21"
"60900","489","2294","0.21"
"60900","518","2533","0.20"
"60900","354","1824","0.19"
"61000","306","1284","0.24"
"61000","733","3009","0.24"
"61000","142","666","0.21"
"61000","287","1518","0.19"
"61100","1395","4913","0.28"
"61100","301","1207","0.25"
"61100","329","1367","0.24"
"61200","466","1659","0.28"
"61200","229","834","0.27"
"61200","231","1009","0.23"
"61200","320","1451","0.22"
"61200","629","2796","0.22"
"61200","358","1677","0.21"
"61200","474","2288","0.21"
"61200","325","1527","0.21"
"61300","1508","5359","0.28"
"61300","448","1624","0.28"
"61300","489","1922","0.25"
"61300","498","2408","0.21"
"61300","150","720","0.21"
"61300","359","1672","0.21"
"61300","489","2380","0.21"
"61300","308","1548","0.20"
"61300","549","2909","0.19"
"61400","317","1401","0.23"
"61400","277","1230","0.23"
"61400","295","1288","0.23"
"61400","350","1885","0.19"
"61500","72","264","0.27"
"61500","559","2183","0.26"
"61500","230","1064","0.22"
"61500","261","1187","0.22"
"61500","370","1774","0.21"
"61500","217","1091","0.20"
"61500","284","1492","0.19"
"61600","351","1199","0.29"
"61600","620","2687","0.23"
"61600","400","1860","0.22"
"61600","230","1061","0.22"
"61600","385","2004","0.19"
"61700","428","1859","0.23"
"61700","468","2089","0.22"
"61700","263","1277","0.21"
"61800","409","1608","0.25"
"61800","351","1438","0.24"
"61800","1250","5872","0.21"
"61800","667","3412","0.20"
"61800","739","3705","0.20"
"61900","705","2554","0.28"
"61900","181","788","0.23"
"61900","134","646","0.21"
"62000","409","1388","0.29"
"62000","483","1988","0.24"
"62000","390","1657","0.24"
"62000","274","1206","0.23"
"62000","428","1841","0.23"
"62000","244","1121","0.22"
"62000","260","1199","0.22"
"62000","471","2202","0.21"
"62000","201","956","0.21"
"62000","608","3027","0.20"
"62000","792","4017","0.20"
"62000","155","845","0.18"
"62100","189","747","0.25"
"62100","716","2931","0.24"
"62100","367","1678","0.22"
"62100","553","2469","0.22"
"62100","606","2862","0.21"
"62100","358","1702","0.21"
"62100","757","3585","0.21"
"62100","346","1748","0.20"
"62200","634","2578","0.25"
"62200","399","1673","0.24"
"62200","797","3271","0.24"
"62200","428","2001","0.21"
"62300","333","1442","0.23"
"62300","208","940","0.22"
"62300","361","1704","0.21"
"62300","406","1969","0.21"
"62300","269","1365","0.20"
"62300","239","1284","0.19"
"62400","405","1788","0.23"
"62400","352","1628","0.22"
"62400","294","1589","0.19"
"62500","835","2372","0.35"
"62500","598","2438","0.25"
"62500","148","632","0.23"
"62500","344","1557","0.22"
"62500","53","259","0.20"
"62500","129","690","0.19"
"62600","377","1934","0.19"
"62700","594","2414","0.25"
"62700","372","1580","0.24"
"62700","222","1079","0.21"
"62700","552","2791","0.20"
"62800","515","1996","0.26"
"62800","239","1029","0.23"
"62800","280","1325","0.21"
"62800","105","535","0.20"
"62800","248","1210","0.20"
"62800","446","2412","0.18"
"62900","481","1898","0.25"
"62900","134","567","0.24"
"62900","604","2647","0.23"
"62900","523","2472","0.21"
"62900","824","4019","0.21"
"63000","404","1630","0.25"
"63000","310","1287","0.24"
"63000","525","2307","0.23"
"63000","186","842","0.22"
"63000","612","2858","0.21"
"63000","441","2157","0.20"
"63100","344","1288","0.27"
"63100","605","2419","0.25"
"63100","275","1190","0.23"
"63100","831","3723","0.22"
"63100","460","2360","0.19"
"63200","456","1572","0.29"
"63200","580","2143","0.27"
"63200","362","1657","0.22"
"63200","156","744","0.21"
"63200","483","2353","0.21"
"63200","308","1525","0.20"
"63300","330","1026","0.32"
"63300","679","2773","0.24"
"63300","306","1371","0.22"
"63300","313","1404","0.22"
"63300","194","916","0.21"
"63300","251","1239","0.20"
"63300","416","2105","0.20"
"63300","699","3606","0.19"
"63400","130","589","0.22"
"63400","243","1147","0.21"
"63400","267","1440","0.19"
"63400","247","1332","0.19"
"63400","482","2551","0.19"
"63500","437","1629","0.27"
"63500","256","1039","0.25"
"63500","620","2608","0.24"
"63500","787","3661","0.21"
"63500","316","1511","0.21"
"63500","160","802","0.20"
"63600","439","1727","0.25"
"63600","133","527","0.25"
"63600","238","1217","0.20"
"63600","249","1344","0.19"
"63700","924","3815","0.24"
"63700","576","2603","0.22"
"63700","287","1402","0.20"
"63700","628","3068","0.20"
"63700","343","1730","0.20"
"63700","469","2467","0.19"
"63800","163","418","0.39"
"63800","92","346","0.27"
"63800","655","2827","0.23"
"63800","199","1027","0.19"
"63800","877","4599","0.19"
"63800","63","361","0.17"
"63900","375","1311","0.29"
"63900","372","1671","0.22"
"63900","324","1453","0.22"
"63900","243","1210","0.20"
"63900","234","1186","0.20"
"63900","165","983","0.17"
"64000","321","1208","0.27"
"64000","459","1708","0.27"
"64000","389","1960","0.20"
"64100","489","1643","0.30"
"64100","257","1105","0.23"
"64100","662","2857","0.23"
"64100","309","1317","0.23"
"64100","139","683","0.20"
"64300","652","3240","0.20"
"64300","183","901","0.20"
"64400","507","1687","0.30"
"64400","176","653","0.27"
"64400","287","1384","0.21"
"64400","307","1589","0.19"
"64500","423","1700","0.25"
"64500","108","518","0.21"
"64500","411","1922","0.21"
"64500","246","1427","0.17"
"64600","374","1513","0.25"
"64600","532","2344","0.23"
"64600","311","1398","0.22"
"64600","553","2683","0.21"
"64600","437","2304","0.19"
"64700","1551","6202","0.25"
"64700","1439","5822","0.25"
"64700","356","1462","0.24"
"64700","331","1401","0.24"
"64700","385","1607","0.24"
"64700","713","3149","0.23"
"64700","169","755","0.22"
"64700","658","3065","0.21"
"64700","285","1648","0.17"
"64800","868","3592","0.24"
"64800","275","1127","0.24"
"64800","55","265","0.21"
"64800","318","1673","0.19"
"64900","272","1087","0.25"
"64900","416","1855","0.22"
"64900","190","851","0.22"
"64900","458","2271","0.20"
"64900","630","3182","0.20"
"65000","202","708","0.29"
"65000","467","1880","0.25"
"65000","1238","4985","0.25"
"65000","659","2617","0.25"
"65000","899","4251","0.21"
"65000","157","755","0.21"
"65000","16","80","0.20"
"65000","237","1185","0.20"
"65000","124","613","0.20"
"65000","482","2366","0.20"
"65000","429","2201","0.19"
"65100","521","2242","0.23"
"65200","421","1733","0.24"
"65200","534","2287","0.23"
"65200","476","2035","0.23"
"65200","325","1387","0.23"
"65200","283","1268","0.22"
"65200","252","1134","0.22"
"65200","431","2078","0.21"
"65200","607","2985","0.20"
"65300","528","1984","0.27"
"65300","1234","5473","0.23"
"65300","256","1237","0.21"
"65400","403","1091","0.37"
"65400","310","968","0.32"
"65400","499","1711","0.29"
"65400","146","543","0.27"
"65400","143","625","0.23"
"65400","369","1654","0.22"
"65400","572","2649","0.22"
"65400","588","2745","0.21"
"65400","705","3396","0.21"
"65500","326","1454","0.22"
"65500","284","1287","0.22"
"65500","244","1158","0.21"
"65500","895","4169","0.21"
"65500","386","1958","0.20"
"65600","639","2816","0.23"
"65600","65","301","0.22"
"65600","285","1279","0.22"
"65600","468","2252","0.21"
"65600","1997","9444","0.21"
"65600","520","2467","0.21"
"65600","814","4179","0.19"
"65600","363","1872","0.19"
"65600","444","2281","0.19"
"65700","217","818","0.27"
"65700","287","1281","0.22"
"65700","721","3501","0.21"
"65800","612","2198","0.28"
"65800","109","452","0.24"
"65800","498","2149","0.23"
"65800","394","1892","0.21"
"65800","412","2053","0.20"
"65800","296","1484","0.20"
"65800","379","1923","0.20"
"65800","294","1463","0.20"
"65800","218","1096","0.20"
"65900","491","1914","0.26"
"65900","508","2295","0.22"
"65900","800","3585","0.22"
"65900","179","820","0.22"
"65900","587","2787","0.21"
"65900","308","1509","0.20"
"65900","291","1474","0.20"
"65900","411","2010","0.20"
"65900","636","3316","0.19"
"66000","59","141","0.42"
"66000","173","673","0.26"
"66000","780","3369","0.23"
"66000","136","593","0.23"
