"median_income","population","household","total_rooms","people_per_household","people_per_room"
"144113","569","271","3153","2.100","0.180"
"142959","304","110","899","2.764","0.338"
"142867","850","318","2418","2.673","0.352"
"139470","2919","1061","9013","2.751","0.324"
"138556","810","270","2416","3.000","0.335"
"138093","84","29","189","2.897","0.444"
"136842","761","256","2167","2.973","0.351"
"136623","1364","425","3540","3.209","0.385"
"135728","1054","352","2929","2.994","0.360"
"134990","1018","335","2991","3.039","0.340"
"134883","416","122","1029","3.410","0.404"
"134660","983","326","2893","3.015","0.340"
"134196","1111","376","3104","2.955","0.358"
"133913","1507","504","4470","2.990","0.337"
"133670","852","327","2848","2.606","0.299"
"133036","964","339","2597","2.844","0.371"
"132986","1173","424","3095","2.767","0.379"
"132949","3898","1257","11444","3.101","0.341"
"132935","2336","868","6603","2.691","0.354"
"131867","511","180","1575","2.839","0.324"
"131738","860","367","2897","2.343","0.297"
"131499","1216","395","3477","3.078","0.350"
"131477","883","281","2198","3.142","0.402"
"131107","678","206","1671","3.291","0.406"
"130502","572","174","1638","3.287","0.349"
"129792","1344","464","3814","2.897","0.352"
"129758","1653","548","4787","3.016","0.345"
"129591","1113","380","2850","2.929","0.391"
"128879","2431","876","6748","2.775","0.360"
"128763","836","337","2384","2.481","0.351"
"128665","1318","542","4042","2.432","0.326"
"128483","420","190","1298","2.211","0.324"
"127823","1292","516","3830","2.504","0.337"
"127296","3511","1352","10806","2.597","0.325"
"126417","1139","391","3562","2.913","0.320"
"126320","208","54","403","3.852","0.516"
"125915","140","43","452","3.256","0.310"
"125902","467","189","1327","2.471","0.352"
"125420","1179","371","3663","3.178","0.322"
"125381","50","18","124","2.778","0.403"
"125000","50","27","120","1.852","0.417"
"124429","606","202","1670","3.000","0.363"
"124291","810","279","2697","2.903","0.300"
"124237","754","257","1917","2.934","0.393"
"123804","1192","383","3494","3.112","0.341"
"123767","654","270","2089","2.422","0.313"
"123670.00000000001","594","205","1643","2.898","0.362"
"123411.00000000001","811","233","1741","3.481","0.466"
"123292","244","72","570","3.389","0.428"
"122547","63","34","240","1.853","0.263"
"122478","1199","392","3209","3.059","0.374"
"122144.99999999999","1252","409","3625","3.061","0.345"
"122138.00000000001","1001","352","3242","2.844","0.309"
"122091.99999999999","1019","319","2819","3.194","0.361"
"121579","1113","318","2672","3.500","0.417"
"121387","3840","1367","11294","2.809","0.340"
"120933","427","162","1325","2.636","0.322"
"120372","1248","409","3385","3.051","0.369"
"120088.00000000001","237","149","895","1.591","0.265"
"119993","1490","577","4803","2.582","0.310"
"119666","191","79","564","2.418","0.339"
"118603","808","315","2492","2.565","0.324"
"118442","2092","796","6675","2.628","0.313"
"118059.99999999999","742","242","2139","3.066","0.347"
"117894","759","305","2257","2.489","0.336"
"117794.00000000001","59","21","308","2.810","0.192"
"117064","1722","141","1320","12.213","1.305"
"117060","975","327","2935","2.982","0.332"
"117045","483","178","1382","2.713","0.349"
"116832.99999999999","2440","846","7189","2.884","0.339"
"116677","366","142","1080","2.577","0.339"
"116648","635","240","2141","2.646","0.297"
"116471","636","211","1835","3.014","0.347"
"116150","843","391","2821","2.156","0.299"
"116016.99999999999","533","194","1617","2.747","0.330"
"115706","1315","582","4471","2.259","0.294"
"115609","1152","347","2954","3.320","0.390"
"115199","337","123","945","2.740","0.357"
"114537","719","254","2260","2.831","0.318"
"114233","1493","526","3755","2.838","0.398"
"113421","830","252","2045","3.294","0.406"
"113283","182","70","427","2.600","0.426"
"113176","1489","559","4518","2.664","0.330"
"113074","833","333","2785","2.502","0.299"
"112979","1443","528","4394","2.733","0.328"
"112866","2926","1096","7970","2.670","0.367"
"112463","1480","514","4240","2.879","0.349"
"112185","967","359","2980","2.694","0.324"
"112160","771","365","3082","2.112","0.250"
"112093","284","113","777","2.513","0.366"
"111978.00000000001","2768","1106","8041","2.503","0.344"
"111768","800","327","2113","2.446","0.379"
"111557","539","192","1521","2.807","0.354"
"111228","1180","346","2971","3.410","0.397"
"111121","1289","416","3236","3.099","0.398"
"111118","1541","470","3961","3.279","0.389"
"111077","295","95","761","3.105","0.388"
"110911.00000000001","1020","408","3370","2.500","0.303"
"110750","410","171","1232","2.398","0.333"
"110567","1862","555","5348","3.355","0.348"
"110546","796","249","2037","3.197","0.391"
"110492.00000000001","2571","581","4448","4.425","0.578"
"110138","868","329","2404","2.638","0.361"
"110124","1200","426","3532","2.817","0.340"
"109891","93","27","170","3.444","0.547"
"109804.99999999999","681","249","1907","2.735","0.357"
"109722.00000000001","802","228","1819","3.518","0.441"
"109704","213","43","454","4.953","0.469"
"109601","1730","752","6258","2.301","0.276"
"109590","791","287","2053","2.756","0.385"
"109529","704","241","2075","2.921","0.339"
"109507.99999999999","683","259","1803","2.637","0.379"
"109506","514","172","1309","2.988","0.393"
"109405","2428","843","7200","2.880","0.337"
"109237","498","216","1693","2.306","0.294"
"109201","2059","673","5791","3.059","0.356"
"109052","1929","586","4960","3.292","0.389"
"108980","1582","551","4402","2.871","0.359"
"108805","3517","998","7665","3.524","0.459"
"108783","402","157","1335","2.561","0.301"
"108758","921","301","2560","3.060","0.360"
"108634","395","145","856","2.724","0.461"
"108289.00000000001","1912","903","6163","2.117","0.310"
"108111","1057","324","2898","3.262","0.365"
"108082","368","134","993","2.746","0.371"
"108045.00000000001","291","97","533","3.000","0.546"
"108034","1490","482","4078","3.091","0.365"
"107958","1608","561","4460","2.866","0.361"
"107937","1500","638","4767","2.351","0.315"
"107751","659","195","1759","3.379","0.375"
"107721","578","187","1663","3.091","0.348"
"107582","604","200","1743","3.020","0.347"
"107569","465","162","1207","2.870","0.385"
"107396.99999999999","1109","423","3156","2.622","0.351"
"107372","3011","993","8953","3.032","0.336"
"107355","549","190","1446","2.889","0.380"
"107339","588","207","1774","2.841","0.331"
"107326","1947","641","5488","3.037","0.355"
"107309","762","274","2151","2.781","0.354"
"107236.99999999999","323","117","1034","2.761","0.312"
"107097","495","208","1457","2.380","0.340"
"107058","805","295","2488","2.729","0.324"
"106868","2149","798","6373","2.693","0.337"
"106834","1085","363","2796","2.989","0.388"
"106796","1190","421","3539","2.827","0.336"
"106767","900","303","2476","2.970","0.363"
"106750","1415","480","3825","2.948","0.370"
"106605.00000000001","641","224","1653","2.862","0.388"
"106514","153","53","370","2.887","0.414"
"106349","712","332","2105","2.145","0.338"
"106272","653","241","2023","2.710","0.323"
"106186","1468","433","3430","3.390","0.428"
"105981","1605","484","4343","3.316","0.370"
"105940.99999999999","1580","540","4070","2.926","0.388"
"105860","495","167","1421","2.964","0.348"
"105815","959","335","2836","2.863","0.338"
"105793","567","208","1612","2.726","0.352"
"105574.99999999999","2712","1125","8262","2.411","0.328"
"105536","1101","391","3065","2.816","0.359"
"105511","450","145","1303","3.103","0.345"
"105424","1490","578","4392","2.578","0.339"
"105144","1424","475","3791","2.998","0.376"
"105142","922","338","2597","2.728","0.355"
"105045","329","169","1018","1.947","0.323"
"104900","2175","681","6814","3.194","0.319"
"104835","851","291","2217","2.924","0.384"
"104760.00000000001","979","364","2577","2.690","0.380"
"104549","1850","590","4949","3.136","0.374"
"104519","394","149","1028","2.644","0.383"
"104498","1993","573","4508","3.478","0.442"
"104415","1883","556","4907","3.387","0.384"
"104399","3585","1162","9657","3.085","0.371"
"104286","784","274","2170","2.861","0.361"
"104277","951","336","2859","2.830","0.333"
"103983.00000000001","1530","648","5112","2.361","0.299"
"103979","1461","475","3845","3.076","0.380"
"103953","1176","351","2887","3.350","0.407"
"103942","353","112","906","3.152","0.390"
"103894","1583","480","3514","3.298","0.450"
"103893","316","108","729","2.926","0.433"
"103798","705","186","1519","3.790","0.464"
"103713","728","229","1820","3.179","0.400"
"103682","394","154","1244","2.558","0.317"
"103661","547","178","1430","3.073","0.383"
"103653","1147","425","3118","2.699","0.368"
"103599","2980","1109","9320","2.687","0.320"
"103591","832","314","2398","2.650","0.347"
"103587","1010","363","2829","2.782","0.357"
"103467","949","439","3203","2.162","0.296"
"103416","740","280","2107","2.643","0.351"
"103354","894","253","2234","3.534","0.400"
"103345","876","258","2255","3.395","0.388"
"103329","520","187","1477","2.781","0.352"
"103224","2099","732","5738","2.867","0.366"
"103203","83","42","228","1.976","0.364"
"103048","316","126","1025","2.508","0.308"
"102948","574","302","7437","1.901","0.077"
"102849","1336","451","3521","2.962","0.379"
"102811","927","369","2999","2.512","0.309"
"102666","847","299","2411","2.833","0.351"
"102614","578","235","1509","2.460","0.383"
"102317","1057","364","2787","2.904","0.379"
"102311","551","191","1574","2.885","0.350"
"102292","3599","1257","10111","2.863","0.356"
"102289","1139","418","3113","2.725","0.366"
"102264","30","14","120","2.143","0.250"
"102264","37","27","126","1.370","0.294"
"102264","7460","6","19","1243.333","392.632"
"102264","41","10","48","4.100","0.854"
"102251.99999999999","420","130","923","3.231","0.455"
"102233","2528","1057","7264","2.392","0.348"
"101989","1247","398","2975","3.133","0.419"
"101882","1660","637","4715","2.606","0.352"
"101854","803","341","2321","2.355","0.346"
"101768","710","282","1721","2.518","0.413"
"101714","3744","1179","9792","3.176","0.382"
"101675","2165","700","6184","3.093","0.350"
"101597.00000000001","450","173","1316","2.601","0.342"
"101570","2569","798","7326","3.219","0.351"
"101560","1032","406","3194","2.542","0.323"
"101531","2985","790","7826","3.778","0.381"
"101454","1598","549","4486","2.911","0.356"
"101447","2540","880","6339","2.886","0.401"
"101357","2248","806","6097","2.789","0.369"
"101316","1400","433","3666","3.233","0.382"
"101298.99999999999","676","217","1788","3.115","0.378"
"101290","596","208","1552","2.865","0.384"
"101275","772","304","2278","2.539","0.339"
"101248","1525","484","3652","3.151","0.418"
"101241","966","375","2629","2.576","0.367"
"101154","2427","867","7017","2.799","0.346"
"101122","3550","1139","10008","3.117","0.355"
"101007","631","236","1851","2.674","0.341"
"100973","3392","1132","8272","2.996","0.410"
"100968","345","129","1005","2.674","0.343"
"100914","668","291","2196","2.296","0.304"
"100825","658","244","2003","2.697","0.329"
"100791","935","369","2682","2.534","0.349"
"100765","991","390","2993","2.541","0.331"
"100760","907","366","2560","2.478","0.354"
"100757","635","230","1414","2.761","0.449"
"100742.99999999999","644","251","1975","2.566","0.326"
"100707","1252","440","3479","2.845","0.360"
"100600","2808","946","7554","2.968","0.372"
"100595","573","182","1582","3.148","0.362"
"100549","641","251","1778","2.554","0.361"
"100481","980","324","2612","3.025","0.375"
"100472","415","119","1177","3.487","0.353"
"100346","1686","567","4612","2.974","0.366"
"100285","1573","496","4443","3.171","0.354"
"100263.00000000001","37","16","154","2.313","0.240"
"100259","501","180","1502","2.783","0.334"
"100187.00000000001","890","276","2345","3.225","0.380"
"100088.00000000001","1016","314","2430","3.236","0.418"
"100000","777","447","2461","1.738","0.316"
"99071","956","319","2629","2.997","0.364"
"99055","822","260","2556","3.162","0.322"
"99025","985","365","2959","2.699","0.333"
"98937.00000000001","1320","471","3752","2.803","0.352"
"98892","976","209","1723","4.670","0.566"
"98707.99999999999","1997","710","5948","2.813","0.336"
"98589","808","278","1974","2.906","0.409"
"98413","4353","1482","10626","2.937","0.410"
"98346","643","303","1822","2.122","0.353"
"98321","654","279","2168","2.344","0.302"
"98214","1534","557","4244","2.754","0.361"
"98210","4649","1504","11353","3.091","0.409"
"98177","1426","533","4311","2.675","0.331"
"98143.99999999999","619","206","1447","3.005","0.428"
"98097.99999999999","1034","338","2731","3.059","0.379"
"98091.00000000001","128","46","311","2.783","0.412"
"98074","1373","452","3973","3.038","0.346"
"98020","375","183","1266","2.049","0.296"
"97956","711","254","2029","2.799","0.350"
"97912","693","248","1745","2.794","0.397"
"97821","1604","404","3318","3.970","0.483"
"97796","324","146","975","2.219","0.332"
"97646","117","41","204","2.854","0.574"
"97449","3731","1511","10722","2.469","0.348"
"97194","1981","591","4909","3.352","0.404"
"97066","129","20","175","6.450","0.737"
"97037","1548","432","3865","3.583","0.401"
"96986.00000000001","1794","541","4186","3.316","0.429"
"96885","1061","380","3104","2.792","0.342"
"96465","2315","687","5429","3.370","0.426"
"96062","702","246","2043","2.854","0.344"
"96047","2795","872","7384","3.205","0.379"
"96023","1246","457","3787","2.726","0.329"
"95908","63","17","74","3.706","0.851"
"95862","2181","761","6039","2.866","0.361"
"95823","733","274","2187","2.675","0.335"
"95561","891","316","2558","2.820","0.348"
"95551","151","67","377","2.254","0.401"
"95320","620","201","1430","3.085","0.434"
"95271.00000000001","2777","908","7681","3.058","0.362"
"95268","2429","718","5126","3.383","0.474"
"95245","2036","807","6139","2.523","0.332"
"95221","1282","516","3623","2.484","0.354"
"94987","1699","715","5012","2.376","0.339"
"94667","1558","528","3868","2.951","0.403"
"94664","916","399","3030","2.296","0.302"
"94590","1044","282","2312","3.702","0.452"
"94522","984","376","3188","2.617","0.309"
"94356.00000000001","188","68","446","2.765","0.422"
"93958.99999999999","1366","496","3726","2.754","0.367"
"93844.99999999999","1074","373","2955","2.879","0.363"
"93834","1811","560","4872","3.234","0.372"
"93694","870","309","2565","2.816","0.339"
"93603","1090","401","2713","2.718","0.402"
"93585.99999999999","498","201","1433","2.478","0.348"
"93463.99999999999","1198","411","3437","2.915","0.349"
"93399","474","187","1543","2.535","0.307"
"93370","1154","28","204","41.214","5.657"
"93198.00000000001","1203","465","3383","2.587","0.356"
"93125","383","133","829","2.880","0.462"
"93092","975","525","3798","1.857","0.257"
"92873","1714","581","4516","2.950","0.380"
"92858","3146","806","6525","3.903","0.482"
"92810","1001","381","2717","2.627","0.368"
"92720","720","282","2079","2.553","0.346"
"92670","1048","387","2996","2.708","0.350"
"92463","1240","370","3008","3.351","0.412"
"92327","904","279","2265","3.240","0.399"
"92297.99999999999","1585","568","4111","2.790","0.386"
"92225","913","414","2564","2.205","0.356"
"92189","2515","860","6920","2.924","0.363"
"92175","937","387","2426","2.421","0.386"
"91974","916","316","2552","2.899","0.359"
"91881","546","227","1647","2.405","0.332"
"91834","1449","471","3458","3.076","0.419"
"91808","2443","739","6208","3.306","0.394"
"91569","773","281","2038","2.751","0.379"
"91541","878","305","2414","2.879","0.364"
"91531","254","85","494","2.988","0.514"
"91508","1088","427","3004","2.548","0.362"
"91415","1607","453","3264","3.547","0.492"
"91373","1102","345","2568","3.194","0.429"
"91232","5452","1875","14291","2.908","0.381"
"91228","6214","2118","16544","2.934","0.376"
"91077.99999999999","735","261","1711","2.816","0.430"
"90812.00000000001","507","295","1194","1.719","0.425"
"90800","382","121","1080","3.157","0.354"
"90776","2823","907","7178","3.112","0.393"
"90704","1234","440","3191","2.805","0.387"
"90702","1467","582","4269","2.521","0.344"
"90683","1992","526","3801","3.787","0.524"
"90519","1443","576","4281","2.505","0.337"
"90420","493","211","1680","2.336","0.293"
"90376","674","277","1896","2.433","0.355"
"90267","794","311","2665","2.553","0.298"
"90243","764","226","1780","3.381","0.429"
"90064","1511","572","4760","2.642","0.317"
"90055","947","356","2696","2.660","0.351"
"89955","1616","631","4402","2.561","0.367"
"89728","862","303","2125","2.845","0.406"
"89669.00000000001","840","305","2272","2.754","0.370"
"89616","724","277","1956","2.614","0.370"
"89571","1684","617","4449","2.729","0.379"
"89565","1257","296","1973","4.247","0.637"
"89440.00000000001","1776","880","6310","2.018","0.281"
"89257.00000000001","1404","384","3154","3.656","0.445"
"89248","721","298","1926","2.419","0.374"
"89172","1336","501","3561","2.667","0.375"
"89088","4160","1214","9729","3.427","0.428"
"89083","905","306","2126","2.958","0.426"
"89063","4253","1120","10018","3.797","0.425"
"89021.00000000001","555","222","1617","2.500","0.343"
"88793","861","258","2315","3.337","0.372"
"88742","1938","964","5488","2.010","0.353"
"88693.00000000001","1680","705","4447","2.383","0.378"
"88666","1560","636","4440","2.453","0.351"
"88636","1569","450","3473","3.487","0.452"
"88619","617","242","1482","2.550","0.416"
"88612","1514","549","4338","2.758","0.349"
"88470","572","149","1206","3.839","0.474"
"88467","2144","597","4542","3.591","0.472"
"88386","812","373","2492","2.177","0.326"
"88341.99999999999","975","365","3046","2.671","0.320"
"88280.99999999999","1424","547","4150","2.603","0.343"
"88204","933","305","2272","3.059","0.411"
"88178","1220","447","3340","2.729","0.365"
"88115","1738","753","5264","2.308","0.330"
"88062","861","311","2156","2.768","0.399"
"87990.99999999999","1900","794","7374","2.393","0.258"
"87980","1808","588","4814","3.075","0.376"
"87974","603","219","1346","2.753","0.448"
"87939","999","320","2550","3.122","0.392"
"87835","970","319","2405","3.041","0.403"
"87819","704","254","1901","2.772","0.370"
"87783","796","301","2368","2.645","0.336"
"87716","863","258","2396","3.345","0.360"
"87657","759","247","1999","3.073","0.380"
"87604","771","317","2524","2.432","0.305"
"87603.00000000001","1241","366","2464","3.391","0.504"
"87591","2969","1007","7474","2.948","0.397"
"87589","721","258","1779","2.795","0.405"
"87579.99999999999","787","278","2040","2.831","0.386"
"87495.99999999999","2046","685","5436","2.987","0.376"
"87477","556","179","1611","3.106","0.345"
"87471","1945","609","4679","3.194","0.416"
"87396.99999999999","491","197","1397","2.492","0.351"
"87394","917","374","2600","2.452","0.353"
"87385","1275","372","3067","3.427","0.416"
"87382.00000000001","600","242","1559","2.479","0.385"
"87364","2750","1208","8798","2.276","0.313"
"87350","1002","332","2106","3.018","0.476"
"87288","3385","1010","8803","3.351","0.385"
"87200","668","239","1473","2.795","0.453"
"87172","769","274","2108","2.807","0.365"
"87124","1448","468","3764","3.094","0.385"
"87059","703","217","1610","3.240","0.437"
"87051","700","279","2074","2.509","0.338"
"87015","1272","454","3414","2.802","0.373"
"86963.00000000001","727","271","1606","2.683","0.453"
"86803.00000000001","1080","365","2402","2.959","0.450"
"86718","1400","568","4018","2.465","0.348"
"86677","707","293","1995","2.413","0.354"
"86675","532","142","957","3.746","0.556"
"86573","949","289","2196","3.284","0.432"
"86572","1105","368","2992","3.003","0.369"
"86499","5495","2152","15572","2.553","0.353"
"86454","1986","657","5297","3.023","0.375"
"86340","641","276","1550","2.322","0.414"
"86196","212","75","436","2.827","0.486"
"86155.00000000001","797","275","2070","2.898","0.385"
"86123","1323","372","2997","3.556","0.441"
"86088","1587","430","3774","3.691","0.421"
"86030","518","196","1504","2.643","0.344"
"86001","930","447","3191","2.081","0.291"
"85957.00000000001","1045","340","2756","3.074","0.379"
"85938","1398","511","3863","2.736","0.362"
"85888.00000000001","570","196","1579","2.908","0.361"
"85841.99999999999","1863","957","5518","1.947","0.338"
"85830","617","231","1680","2.671","0.367"
"85759.00000000001","810","354","2390","2.288","0.339"
"85677","1498","615","4287","2.436","0.349"
"85650","697","242","1962","2.880","0.355"
"85650","2540","1052","6778","2.414","0.375"
"85620.99999999999","979","288","2111","3.399","0.464"
"85608","753","260","1765","2.896","0.427"
"85574","1209","559","3615","2.163","0.334"
"85490.99999999999","703","292","1975","2.408","0.356"
"85425","1325","476","3574","2.784","0.371"
"85421","2357","790","5005","2.984","0.471"
"85407","1305","368","2711","3.546","0.481"
"85403","1292","458","3596","2.821","0.359"
"85326","3570","1107","9376","3.225","0.381"
"85325","842","265","2113","3.177","0.398"
"85294.00000000001","676","252","2063","2.683","0.328"
"85282","1284","438","3430","2.932","0.374"
"85184","1392","524","3542","2.656","0.393"
"85153","1564","523","3351","2.990","0.467"
"85136","1468","632","3902","2.323","0.376"
"84960","1817","747","5846","2.432","0.311"
"84952","1379","429","2956","3.214","0.467"
"84920.00000000001","1866","694","4709","2.689","0.396"
"84888.99999999999","1151","387","2662","2.974","0.432"
"84888","1292","632","3763","2.044","0.343"
"84882.00000000001","315","111","771","2.838","0.409"
"84839","1815","490","3877","3.704","0.468"
"84802","1268","478","3296","2.653","0.385"
"84721","314","97","922","3.237","0.341"
"84709","504","200","1443","2.520","0.349"
"84704","671","243","1704","2.761","0.394"
"84699.00000000001","978","419","3196","2.334","0.306"
"84693","1611","578","4042","2.787","0.399"
"84680","1044","380","2311","2.747","0.452"
"84614","1310","580","3224","2.259","0.406"
"84545.99999999999","377","145","1238","2.600","0.305"
"84476","1509","509","3837","2.965","0.393"
"84471","1395","427","3388","3.267","0.412"
"84443","1527","507","3785","3.012","0.403"
"84438","1902","574","4312","3.314","0.441"
"84411","179","54","556","3.315","0.322"
"84389","568","206","1590","2.757","0.357"
"84375","295","116","932","2.543","0.317"
"84355","2330","893","6251","2.609","0.373"
"84352","1209","377","3056","3.207","0.396"
"84331","606","326","2043","1.859","0.297"
"84284","1536","448","3372","3.429","0.456"
"84262","2281","680","5636","3.354","0.405"
"84196.00000000001","1422","535","3856","2.658","0.369"
"84111.99999999999","789","270","2022","2.922","0.390"
"84045","12203","3701","28258","3.297","0.432"
"84016","863","359","2648","2.404","0.326"
"84010","542","211","1589","2.569","0.341"
"83996","2412","714","5674","3.378","0.425"
"83956","1038","337","2808","3.080","0.370"
"83935","1549","626","4385","2.474","0.353"
"83931","4005","1419","10484","2.822","0.382"
"83924","945","348","2511","2.716","0.376"
"83912","2519","843","6612","2.988","0.381"
"83841","735","219","1471","3.356","0.500"
"83839","769","277","2233","2.776","0.344"
"83836.99999999999","3637","1138","9176","3.196","0.396"
"83818","1496","499","3759","2.998","0.398"
"83792.00000000001","2221","675","5468","3.290","0.406"
"83695","941","303","2260","3.106","0.416"
"83678.00000000001","1962","723","5683","2.714","0.345"
"83646","1238","406","3412","3.049","0.363"
"83637","1181","355","3173","3.327","0.372"
"83634","2025","578","4321","3.503","0.469"
"83617.00000000001","737","248","1368","2.972","0.539"
"83609.00000000001","2071","668","5166","3.100","0.401"
"83608","1200","363","2902","3.306","0.414"
"83605","854","303","2170","2.818","0.394"
"83474","424","137","1113","3.095","0.381"
"83379.99999999999","334","138","1145","2.420","0.292"
"83337","1081","400","3166","2.703","0.341"
"83275","705","224","1764","3.147","0.400"
"83252","322","126","880","2.556","0.366"
"83209","2089","621","4711","3.364","0.443"
"83188","2404","765","6488","3.142","0.371"
"83170","635","263","1835","2.414","0.346"
"83065","2782","899","7174","3.095","0.388"
"83013.99999999999","2401","1138","7099","2.110","0.338"
"82960.99999999999","646","284","1871","2.275","0.345"
"82954.00000000001","1521","666","4400","2.284","0.346"
"82952.99999999999","1256","352","2630","3.568","0.478"
"82934","662","299","2095","2.214","0.316"
"82890","810","265","1799","3.057","0.450"
"82883","613","223","1476","2.749","0.415"
"82840","1147","397","2487","2.889","0.461"
"82830.99999999999","6897","2492","17591","2.768","0.392"
"82827","2061","679","5745","3.035","0.359"
"82815.99999999999","2184","960","6447","2.275","0.339"
"82787","243","77","534","3.156","0.455"
"82782","540","192","1296","2.813","0.417"
"82737","1843","562","4139","3.279","0.445"
"82673","1396","467","3521","2.989","0.396"
"82664.00000000001","696","293","1944","2.375","0.358"
"82653","3754","1241","8974","3.025","0.418"
"82598","876","359","2547","2.440","0.344"
"82531","573","221","2073","2.593","0.276"
"82480","826","275","1945","3.004","0.425"
"82436","948","346","2237","2.740","0.424"
"82434.99999999999","816","233","1551","3.502","0.526"
"82405.00000000001","951","314","2396","3.029","0.397"
"82375","954","275","2452","3.469","0.389"
"82373.99999999999","978","462","3652","2.117","0.268"
"82364","355","124","749","2.863","0.474"
"82335","846","457","2330","1.851","0.363"
"82269","267","110","804","2.427","0.332"
"82266","728","238","2181","3.059","0.334"
"82159","1995","582","4423","3.428","0.451"
"82068.99999999999","1158","560","4034","2.068","0.287"
"82064","654","223","1596","2.933","0.410"
"82049","463","190","1326","2.437","0.349"
"82037","1699","718","4314","2.366","0.394"
"82030","1508","529","4018","2.851","0.375"
"82004","1877","622","5131","3.018","0.366"
"81988","1503","487","3574","3.086","0.421"
"81926","2380","773","5743","3.079","0.414"
"81900","3094","941","7754","3.288","0.399"
"81888","1925","757","5477","2.543","0.351"
"81872","1005","369","3051","2.724","0.329"
"81870.99999999999","605","184","1947","3.288","0.311"
"81844","1083","410","3205","2.641","0.338"
"81839","925","323","2552","2.864","0.362"
"81782","4168","1584","11016","2.631","0.378"
"81760","1590","550","3674","2.891","0.433"
"81714","1208","378","2980","3.196","0.405"
"81657","5459","2017","14556","2.706","0.375"
"81631","634","242","1528","2.620","0.415"
"81630","128","61","366","2.098","0.350"
"81611","1312","390","3274","3.364","0.401"
"81596","807","306","2127","2.637","0.379"
"81586","1298","483","3359","2.687","0.386"
"81564","1021","380","2927","2.687","0.349"
"81550","1027","343","2498","2.994","0.411"
"81548","459","190","1495","2.416","0.307"
"81530","850","379","2873","2.243","0.296"
"81513.00000000001","607","259","1448","2.344","0.419"
"81489","1634","734","4845","2.226","0.337"
"81484","871","269","1831","3.238","0.476"
"81397","1917","624","4668","3.072","0.411"
"81356","2183","625","4919","3.493","0.444"
"81344","1355","215","1514","6.302","0.895"
"81325","3401","1178","8590","2.887","0.396"
"81248","3189","955","7498","3.339","0.425"
"81221","811","284","1958","2.856","0.414"
"81194","916","316","2449","2.899","0.374"
"81189","735","252","2055","2.917","0.358"
"81163.00000000001","1055","334","2638","3.159","0.400"
"81132.00000000001","943","339","2332","2.782","0.404"
"81125","3468","1200","8879","2.890","0.391"
"81123.99999999999","1153","414","2742","2.785","0.420"
"81117.00000000001","2070","619","4874","3.344","0.425"
"81111","928","244","1939","3.803","0.479"
"81110","1293","335","2945","3.860","0.439"
"81093","1798","612","4477","2.938","0.402"
"81077.99999999999","1221","422","2785","2.893","0.438"
"81064","1409","560","4109","2.516","0.343"
"81064","929","345","2224","2.693","0.418"
"81050","467","178","1160","2.624","0.403"
"81039","871","342","2297","2.547","0.379"
"81001","1391","481","3512","2.892","0.396"
"80957.00000000001","802","300","2093","2.673","0.383"
"80930","1097","445","3558","2.465","0.308"
"80922","1596","557","4037","2.865","0.395"
"80839","1177","396","2939","2.972","0.400"
"80838","1433","624","4421","2.296","0.324"
"80837","1699","533","4044","3.188","0.420"
