"longtitude","latitude","median_house_value","median_income"
"-122.15","37.35","500001","129792"
"-118.4","33.78","500001","129758"
"-118.29","34.11","500001","129591"
"-118.51","34.14","500001","128879"
"-118.28","34.12","500001","128763"
"-118.48","34.07","500001","128665"
"-118.4","34.04","500001","128483"
"-118.42","34.13","500001","127823"
"-118.43","34.11","500001","127296"
"-122.34","37.56","500001","126417"
"-119.31","34.44","500001","126320"
"-122.14","37.43","500001","125902"
"-118.69","34.21","500001","125420"
"-117.25","32.86","500001","124429"
"-122.37","37.58","500001","124291"
"-118.1","34.13","500001","124237"
"-122.23","37.82","500001","123804"
"-118.42","34.12","500001","123767"
"-122.08","37.34","500001","123670.00000000001"
"-117.81","33.64","500001","123411.00000000001"
"-122.49","37.85","500001","122547"
"-121.96","37.85","500001","122478"
"-122.04","37.29","500001","122144.99999999999"
"-122.23","37.82","500001","122138.00000000001"
"-117.81","33.82","500001","122091.99999999999"
"-118.21","34.18","500001","121579"
"-122.14","37.36","500001","121387"
"-122.46","37.98","500001","120933"
"-122.13","37.39","500001","120372"
"-118.48","33.96","500001","120088.00000000001"
"-118.45","33.8","500001","119993"
"-122.21","37.42","500001","119666"
"-122.22","37.82","500001","118603"
"-118.45","34.1","500001","118442"
"-122.13","37.37","500001","118059.99999999999"
"-118.17","34.14","500001","117894"
"-119.5","34.35","500001","117794.00000000001"
"-122.08","37.84","500001","117064"
"-118.12","34.13","500001","117060"
"-118.51","34.04","500001","117045"
"-122.37","37.56","500001","116832.99999999999"
"-118.32","33.75","500001","116677"
"-118.44","33.79","500001","116648"
"-118.1","34.12","500001","116471"
"-118.37","34.12","500001","116150"
"-122.47","37.87","500001","115706"
"-118.11","34.12","500001","115609"
"-118.01","33.69","500001","115199"
"-117.78","33.76","500001","114537"
"-118.54","34.06","500001","114233"
"-122.08","37.82","500001","113421"
"-122.08","37.24","500001","113283"
"-122.21","37.38","500001","113176"
"-117.31","32.82","500001","113074"
"-118.49","34.13","500001","112979"
"-118.57","34.09","500001","112866"
"-121.99","37.25","500001","112463"
"-118.32","34.07","500001","112185"
"-117.91","33.61","500001","112160"
"-118.43","34.17","500001","112093"
"-118.47","34.1","500001","111978.00000000001"
"-118.41","34.04","500001","111768"
"-122.04","37.24","500001","111557"
"-117.8","33.83","500001","111228"
"-117.23","33.01","500001","111118"
"-117.85","34.07","500001","111077"
"-117.21","33.03","500001","110911.00000000001"
"-117.91","33.61","500001","110750"
"-122.16","37.42","500001","110492.00000000001"
"-117.77","33.76","500001","110124"
"-118.41","34.04","500001","109804.99999999999"
"-121.88","37.46","500001","109722.00000000001"
"-117.81","33.56","500001","109601"
"-122.46","37.74","500001","109590"
"-117.25","32.83","500001","109529"
"-122.15","37.46","500001","109507.99999999999"
"-122.18","37.91","500001","109405"
"-118.43","34.14","500001","109237"
"-118.57","34.15","500001","109201"
"-118.54","34.26","500001","109052"
"-118.39","33.79","500001","108980"
"-118.54","34.28","500001","108805"
"-122.44","37.79","500001","108783"
"-122.21","37.46","500001","108758"
"-117.87","33.63","500001","108289.00000000001"
"-117.81","33.82","500001","108111"
"-118.52","34.04","500001","108082"
"-118.42","34.06","500001","108045.00000000001"
"-117.99","33.97","500001","108034"
"-122.03","37.27","500001","107958"
"-118.48","34.07","500001","107937"
"-117.25","32.84","500001","107751"
"-117.26","32.83","500001","107721"
"-121.99","37.25","500001","107582"
"-122.46","37.75","500001","107569"
"-118.13","34.12","500001","107396.99999999999"
"-122","37.86","500001","107372"
"-122.12","37.37","500001","107355"
"-122.36","37.57","500001","107339"
"-122.06","37.3","500001","107326"
"-122.47","37.73","500001","107309"
"-122.18","37.41","500001","107236.99999999999"
"-122.45","37.79","500001","107097"
"-122.49","37.79","500001","107058"
"-122.29","37.41","500001","106868"
"-122.02","37.24","500001","106834"
"-118.49","34.14","500001","106796"
"-118.11","34.12","500001","106767"
"-122.01","37.27","500001","106750"
"-122.47","37.73","500001","106605.00000000001"
"-122.25","37.39","500001","106514"
"-117.76","33.53","500001","106349"
"-122.56","37.94","500001","106272"
"-118.34","34.08","500001","105860"
"-121.94","37.83","500001","105815"
"-122.06","37.27","500001","105793"
"-118.4","34.13","500001","105574.99999999999"
"-118.46","33.77","500001","105536"
"-118.06","33.73","500001","105424"
"-122.08","37.34","500001","105142"
"-118.38","33.81","500001","105045"
"-117.65","33.53","500001","104900"
"-122.15","37.41","500001","104760.00000000001"
"-122.12","37.94","500001","104549"
"-118.4","34.05","500001","104519"
"-118.56","34.14","500001","104399"
"-122.35","37.57","500001","104286"
"-122.14","37.38","500001","104277"
"-117.73","33.49","500001","103983.00000000001"
"-122.02","37.29","500001","103979"
"-117.69","33.58","500001","103953"
"-122.15","37.46","500001","103942"
"-122.12","37.4","500001","103894"
"-117.85","33.62","500001","103893"
"-121.89","37.46","500001","103798"
"-117.92","33.61","500001","103682"
"-118.34","34.08","500001","103661"
"-122.03","37.29","500001","103653"
"-118.48","34.14","500001","103599"
"-122.08","37.35","500001","103591"
"-118.49","34.15","500001","103587"
"-118.43","34.07","500001","103467"
"-122.2","37.9","500001","103416"
"-122.11","37.37","500001","103329"
"-122.14","37.9","500001","103224"
"-117.92","33.61","500001","103048"
"-117.87","33.64","500001","102849"
"-122.25","37.45","500001","102811"
"-122.02","37.26","500001","102666"
"-118.12","34.11","500001","102317"
"-122.01","37.25","500001","102311"
"-118.54","34.15","500001","102292"
"-118.09","34.18","500001","102289"
"-118.12","33.77","500001","102233"
"-117.86","33.62","500001","101989"
"-118.51","34.04","500001","101882"
"-117.26","32.96","500001","101768"
"-122.36","37.54","500001","101675"
"-118.83","34.14","500001","101597.00000000001"
"-117.21","33.02","500001","101560"
"-117.9","33.63","500001","101454"
"-118.37","33.77","500001","101447"
"-118.32","33.74","500001","101357"
"-117.76","33.86","500001","101316"
"-122.54","37.96","500001","101290"
"-117.88","33.55","500001","101275"
"-118.36","33.8","500001","101241"
"-117.68","33.57","500001","101122"
"-122.07","37.34","500001","101007"
"-118.35","33.74","500001","100973"
"-122.02","37.01","500001","100968"
"-122.45","37.79","500001","100914"
"-122.45","37.91","500001","100791"
"-118.66","34.1","500001","100760"
"-122.33","37.56","500001","100742.99999999999"
"-117.24","32.85","500001","100707"
"-118.41","33.77","500001","100600"
"-118.9","34.19","500001","100595"
"-118.44","34.15","500001","100549"
"-122.2","37.4","500001","100481"
"-118.69","34.18","500001","100472"
"-122.07","37.36","500001","100346"
"-118.4","34.41","500001","100285"
"-122.09","37.35","500001","100259"
"-121.95","37.21","500001","100187.00000000001"
"-118.46","33.97","500001","100000"
"-117.93","33.9","500001","99071"
"-122.2","37.47","500001","99025"
"-122.03","37.28","500001","98937.00000000001"
"-122.2","37.46","500001","98892"
"-122.03","37.83","500001","98707.99999999999"
"-117.82","33.64","500001","98589"
"-118.19","34.22","500001","98413"
"-117.73","33.49","500001","98321"
"-118.33","33.77","500001","98214"
"-118.38","33.77","500001","98210"
"-118.06","33.72","500001","98177"
"-122.07","37.35","500001","98143.99999999999"
"-118.03","34.16","500001","98097.99999999999"
"-118.41","33.75","500001","98091.00000000001"
"-117.87","33.62","500001","98020"
"-117.94","33.9","500001","97956"
"-118.1","34.13","500001","97912"
"-119.77","34.43","500001","97821"
"-122.21","37.43","500001","97796"
"-118.69","34.08","500001","97646"
"-118.45","34.12","500001","97449"
"-121.89","37.49","500001","97194"
"-119.79","34.4","500001","96885"
"-118.65","34.21","500001","96465"
"-118.57","34.27","500001","96047"
"-122.64","37.96","500001","95551"
"-122","37.84","500001","95271.00000000001"
"-117.25","32.82","500001","95245"
"-118.48","34.05","500001","95221"
"-118.18","34.16","500001","94987"
"-118.02","34.17","500001","94667"
"-118.47","34.06","500001","94664"
"-122.17","37.46","500001","94590"
"-119.63","34.44","500001","94522"
"-122.24","37.85","500001","93958.99999999999"
"-117.79","33.75","500001","93844.99999999999"
"-121.93","37.22","500001","93834"
"-122.33","37.55","500001","93694"
"-122.47","37.75","500001","93603"
"-122.1","37.36","500001","93585.99999999999"
"-122.02","37.28","500001","93463.99999999999"
"-118.4","33.88","500001","93399"
"-118.45","34.06","500001","93370"
"-122.19","37.44","500001","93198.00000000001"
"-118.38","34.1","500001","93092"
"-122.08","37.36","500001","92810"
"-118.4","34.04","500001","92720"
"-118.32","33.75","500001","92670"
"-118.21","34.22","500001","92463"
"-122.05","37.31","500001","92297.99999999999"
"-118.46","34.07","500001","92225"
"-118.53","34.14","500001","92189"
"-117.91","33.62","500001","92175"
"-121.86","37.21","500001","91974"
"-122.48","37.79","500001","91881"
"-122.57","37.96","500001","91834"
"-122.01","37.28","500001","91569"
"-122.13","37.44","500001","91508"
"-122.26","37.54","500001","91415"
"-118.13","34.11","500001","91373"
"-118.67","34.16","500001","91228"
"-118.53","34.04","500001","91077.99999999999"
"-118.41","33.89","500001","90812.00000000001"
"-121.87","37.21","500001","90800"
"-122","37.23","500001","90704"
"-118.18","34.17","500001","90702"
"-117.84","33.6","500001","90519"
"-118.35","34.15","500001","90420"
"-119.61","34.43","500001","90267"
"-122.18","37.9","500001","90064"
"-122.19","37.44","500001","89955"
"-118.05","34.14","500001","89728"
"-118.48","34.04","500001","89616"
"-118.44","34.07","500001","89565"
"-118.39","34.1","500001","89440.00000000001"
"-122.56","37.92","500001","89248"
"-122.12","37.39","500001","89172"
"-122.27","37.54","500001","89083"
"-118.94","34.24","500001","89063"
"-122.12","37.37","500001","89021.00000000001"
"-117.88","33.6","500001","88742"
"-118.58","34.06","500001","88666"
"-118.55","34.04","500001","88619"
"-118.51","34.25","500001","88612"
"-122.46","37.88","500001","88386"
"-122.01","37.27","500001","88178"
"-118.46","34.14","500001","88115"
"-118.32","34.07","500001","88062"
"-122.02","37.29","500001","87939"
"-118.43","33.96","500001","87819"
"-122.06","37.35","500001","87579.99999999999"
"-122.23","37.82","500001","87477"
"-118.09","33.71","500001","87396.99999999999"
"-119.68","34.44","500001","87394"
"-122.22","37.36","500001","87382.00000000001"
"-118.66","34.02","500001","87364"
"-118.48","34.16","500001","87172"
"-122.14","37.45","500001","87051"
"-122.21","37.43","500001","86963.00000000001"
"-118.8","34.19","500001","86499"
"-122.12","37.29","500001","86196"
"-117.86","33.61","500001","86001"
"-118.4","34.04","500001","85938"
"-122.07","37.35","500001","85888.00000000001"
"-118.37","34.11","500001","85841.99999999999"
"-122.53","37.98","500001","85759.00000000001"
"-118.37","34.13","500001","85677"
"-118.54","34.05","500001","85650"
"-118.56","34.25","500001","85650"
"-119.63","34.42","500001","85608"
"-121.98","37.24","500001","85425"
"-118.4","33.78","500001","85421"
"-122.1","37.36","500001","85294.00000000001"
"-122.27","37.48","500001","85184"
"-118.48","34.07","500001","85153"
"-118.36","34.12","500001","85136"
"-117.26","32.82","500001","84960"
"-121.96","37.22","500001","84920.00000000001"
"-118.06","34.14","500001","84888.99999999999"
"-122.45","37.9","500001","84888"
"-118.22","34.23","500001","84802"
"-122.12","37.38","500001","84709"
"-122.38","37.58","500001","84704"
"-118.08","34.13","500001","84545.99999999999"
"-118.85","34.04","500001","84476"
"-117.78","33.97","500001","84411"
"-118.3","34.11","500001","84389"
"-122.19","37.42","500001","84375"
"-118.6","34.02","500001","84331"
"-122.1","37.37","500001","83924"
"-118.5","34.04","500001","83839"
"-118.21","34.22","500001","83695"
"-117.82","33.82","500001","83637"
"-118.36","33.79","500001","83609.00000000001"
"-122","37.28","500001","83605"
"-117.95","33.97","500001","83474"
"-121.93","37.66","500001","83337"
"-118.4","34.06","500001","82960.99999999999"
"-118.43","34.13","500001","82954.00000000001"
"-118.56","34.03","500001","82934"
"-122.21","37.37","500001","82883"
"-118.42","33.75","500001","82830.99999999999"
"-118.39","34.12","500001","82815.99999999999"
"-122.2","37.4","500001","82782"
"-122.14","37.43","500001","82664.00000000001"
"-122.34","37.57","500001","82598"
"-122.18","37.44","500001","82436"
"-118.16","34.14","500001","82434.99999999999"
"-117.26","32.85","500001","82373.99999999999"
"-118.47","34.15","500001","82269"
"-122.08","37.36","500001","82266"
"-118.37","33.79","500001","82064"
"-118.39","33.9","500001","82037"
"-118.05","34.15","500001","82004"
"-118.53","34.09","500001","81888"
"-121.75","37.35","500001","81870.99999999999"
"-118.34","33.78","500001","81782"
"-118.56","34.24","500001","81714"
"-118.26","34.18","500001","81657"
"-118.43","34.02","500001","81631"
"-118.4","33.89","500001","81596"
"-117.19","32.75","500001","81548"
"-118.47","34.14","500001","81530"
"-118.39","33.88","500001","81513.00000000001"
"-118.4","34.03","500001","81484"
"-122.47","37.74","500001","81189"
"-118.14","34.11","500001","81123.99999999999"
"-122.1","37.37","500001","81064"
"-118.42","33.78","500001","80957.00000000001"
"-118.38","33.8","500001","80838"
"-122.44","37.79","500001","80755"
"-122.42","37.8","500001","80755"
"-117.27","32.83","500001","80639"
"-118.94","34.16","500001","80428"
"-122.02","37.26","500001","80330.99999999999"
"-118.49","34.04","500001","80257"
"-118.41","34.04","500001","80239"
"-118.86","34.07","500001","80144"
"-118.39","34.06","500001","80094.99999999999"
"-118.31","34.12","500001","80073.00000000001"
"-118.4","33.88","500001","80015"
"-118.13","34.13","500001","79976"
"-122.53","37.91","500001","79892"
"-118.43","34.09","500001","79835"
"-118.11","33.78","500001","79767"
"-122.44","37.8","500001","79761"
"-118.41","33.88","500001","79614"
"-118.4","33.89","500001","79611"
"-117.86","33.62","500001","79367"
"-119.78","34.48","500001","79248"
"-121.99","37.26","500001","79234"
"-118.74","34.05","500001","79184"
"-118.55","33.99","500001","79096"
"-122.13","37.45","500001","79029"
"-122.39","37.58","500001","78997"
"-118.4","33.9","500001","78924"
"-122.23","37.83","500001","78772"
"-122.03","37.25","500001","78711"
"-118.5","34.03","500001","78705"
"-117.79","33.56","500001","78660"
"-122.14","37.45","500001","78647"
"-122.26","37.38","500001","78633"
"-122.04","37.26","500001","78627"
"-122.24","37.86","500001","78521"
"-122.46","37.73","500001","78476"
"-118.46","34.08","500001","78426"
"-118.55","34.17","500001","78392"
"-118.27","34.17","500001","78383"
"-118.2","34.21","500001","78375"
"-118.09","34.12","500001","78347"
"-122.03","37.27","500001","78279"
"-117.74","33.51","500001","78239"
"-122.11","37.38","500001","78177"
"-118.42","34.05","500001","78164"
"-117.89","33.6","500001","78164"
"-117.87","33.61","500001","77900"
"-118.88","34.02","500001","77848"
"-118.5","34.03","500001","77572"
"-116.99","33.01","500001","77517"
"-118.43","34.07","500001","77382"
"-119.7","34.47","500001","77261"
"-118.16","34.13","500001","77230"
"-118.43","33.97","500001","77197"
"-122.08","37.35","500001","77068"
"-118.38","33.79","500001","77042"
"-118.38","33.75","500001","76986"
"-118.32","33.73","500001","76886"
"-118.38","34.06","500001","76771"
"-122.24","37.43","500001","76520"
"-118.47","34.06","500001","76447"
"-118.47","34.14","500001","76290"
"-122.1","37.39","500001","76229"
"-122.01","37.26","500001","76107"
"-122.09","37.35","500001","75794"
"-117.85","33.61","500001","75674"
"-122.1","37.38","500001","75655"
"-118.39","33.71","500001","75594"
"-118.41","33.9","500001","75552"
"-122.09","37.36","500001","75274"
"-118.4","33.88","500001","75000"
"-122.07","37.36","500001","75000"
"-122.01","37.29","500001","75000"
"-118.16","34.14","500001","74817"
"-122.29","37.48","500001","74678"
"-117.93","33.95","500001","74597"
"-118.34","34.06","500001","74574"
"-122.23","37.42","500001","74542"
"-122.34","37.46","500001","74390"
"-118.43","34.06","500001","74219"
"-118.08","34.13","500001","74185"
"-118.62","34.06","500001","74001"
"-122.2","37.43","500001","73681"
"-118.12","33.75","500001","73672"
"-122.07","37.34","500001","73561"
"-118.56","34.06","500001","73031"
"-118.39","34.04","500001","73028"
"-117.92","33.57","500001","72988"
"-122.07","37.31","500001","72986"
"-122.47","37.89","500001","72905"
"-117.25","32.86","500001","72821"
"-118.43","34.06","500001","72675"
"-118.4","33.88","500001","72651"
"-122.43","37.79","500001","72623"
"-122.15","37.44","500001","72543"
"-118.41","33.89","500001","72316"
"-117.77","33.54","500001","72217"
"-122.11","37.37","500001","72045"
"-122.56","37.91","500001","71924"
"-118.04","34.11","500001","71885"
"-118.44","34.07","500001","71674"
"-118.34","34.06","500001","71669"
"-122.25","37.48","500001","71621"
"-118.45","34.08","500001","71576"
"-118.56","34.17","500001","71322"
"-118.43","33.86","500001","71264"
"-117.76","33.81","500001","71193"
"-122.55","37.97","500001","71155"
"-117.9","33.63","500001","71148"
"-118.41","33.88","500001","70842"
"-118.12","33.76","500001","70796"
"-118.46","34.06","500001","70674"
"-117.93","33.62","500001","70516"
"-117.26","33.09","500001","70423"
"-122.34","37.57","500001","70422"
"-118.53","34.03","500001","70318"
"-118.49","34.05","500001","70285"
"-122.12","37.4","500001","70245"
"-122.06","37.33","500001","70102"
"-118.22","34.22","500001","70059"
"-122.26","37.46","500001","70001"
"-117.18","33.51","500001","69930"
"-118.2","34.2","500001","69870"
"-117.26","32.95","500001","69794"
"-118.36","33.8","500001","69742"
"-121.81","36.57","500001","69615"
"-117.29","32.81","500001","69553"
"-122.34","37.55","500001","69533"
"-118.3","34.11","500001","69391"
"-118.37","33.81","500001","69296"
"-121.89","36.59","500001","69180"
"-118.96","34.3","500001","69070"
"-119.75","34.4","500001","68927"
"-118.46","34.01","500001","68901"
"-122.28","37.47","500001","68879"
"-118.32","33.77","500001","68870"
"-118.42","34.06","500001","68710"
"-119.69","34.44","500001","68406"
"-122.09","37.37","500001","68374"
"-117.29","32.92","500001","68322"
"-118.78","34.05","500001","68300"
"-122.06","37.36","500001","68268"
"-118.43","33.87","500001","68220"
"-118.38","33.98","500001","68112"
"-118.46","34.07","500001","67703"
"-122.15","37.45","500001","67670"
"-122.49","37.86","500001","67669"
"-118.48","34.05","500001","67496"
"-118.68","34.13","500001","67273"
"-122.13","37.45","500001","67257"
"-118.43","34.05","500001","67115"
"-118.48","34.16","500001","67082"
"-118.03","34.16","500001","66888"
"-117.67","33.44","500001","66852"
"-122.14","37.44","500001","66756"
"-118.34","34.13","500001","66739"
"-117.24","32.71","500001","66661"
"-121.83","37.23","500001","66659"
"-117.87","33.59","500001","66544"
"-118.44","33.88","500001","66494"
"-118.39","34.05","500001","66368"
"-122.13","37.45","500001","66354"
"-118.4","34.06","500001","66343"
"-117.86","33.6","500001","66265"
"-118.42","34.04","500001","66260"
"-117.78","33.51","500001","66178"
"-117.87","33.6","500001","66155"
"-120.04","34.72","500001","66054"
"-118.16","34.15","500001","66031"
"-118.04","34.12","500001","65989"
"-122.14","37.43","500001","65829"
"-119.66","34.44","500001","65631"
"-118.76","34.13","500001","65571"
"-118.39","34.14","500001","65533"
"-118.19","34.21","500001","65530"
"-122.28","37.49","500001","65475"
"-118.36","34.11","500001","65195"
"-118.52","34.04","500001","65147.00000000001"
"-118.49","34.16","500001","64958"
"-118.5","34.03","500001","64800.00000000001"
"-122.48","37.85","500001","64752"
"-119.78","34.45","500001","64744"
"-122.38","37.58","500001","64710"
"-117.26","32.97","500001","64650.99999999999"
"-117.97","34.15","500001","64576"
"-119.23","34.19","500001","64522.00000000001"
"-122.44","37.79","500001","64208.99999999999"
"-118.58","34.12","500001","64018"
"-119.72","34.44","500001","63997"
"-122.11","37.39","500001","63967"
"-118.41","33.89","500001","63861"
"-122.27","37.45","500001","63823.99999999999"
"-118.21","34.2","500001","63794.00000000001"
"-117.71","33.51","500001","63789.99999999999"
"-122.4","37.58","500001","63580"
"-118.41","33.89","500001","63480"
"-118.41","33.88","500001","63403"
"-118.45","33.96","500001","63267"
"-122.41","37.8","500001","63244.99999999999"
"-118.4","33.87","500001","63231"
"-118.1","34.12","500001","63013"
"-122.52","37.95","500001","62862"
"-118.44","33.95","500001","62551"
"-118.44","34.06","500001","62389"
"-118.38","34.06","500001","62344"
"-122.4","37.59","500001","62306"
"-122.33","37.39","500001","62263"
"-118.34","34.07","500001","62223"
"-122.48","37.86","500001","62112.99999999999"
"-119.29","34.24","500001","61940"
"-118.46","33.97","500001","61726"
"-122.15","37.44","500001","61655"
"-122.15","37.45","500001","61575"
"-118.42","34.06","500001","61527"
"-122.56","37.95","500001","61444"
"-122.49","37.79","500001","61407"
"-122.33","37.55","500001","61349"
"-122.39","37.59","500001","61323"
"-122.06","37.37","500001","61299"
"-122.55","37.92","500001","61085"
"-117.27","32.84","500001","61025"
"-119.51","34.46","500001","60910"
"-117.95","33.63","500001","60516"
"-122.39","37.59","500001","60374"
"-118.33","34.12","500001","60352"
"-118.55","34.03","500001","60307.00000000001"
"-117.89","33.61","500001","60247"
"-122.49","37.89","500001","60237.99999999999"
"-119.63","34.4","500001","60069"
"-118.38","33.82","500001","59907"
"-118.42","33.9","500001","59596"
"-122.52","37.94","500001","59582"
"-118.35","33.8","500001","59541.00000000001"
"-117.91","33.61","500001","59196"
"-118.43","33.96","500001","58864"
"-118.84","34.11","500001","58788"
"-118.41","34.05","500001","58758"
"-118.52","34.36","500001","58703"
"-122.41","37.8","500001","58660"
"-118.79","34.14","500001","58548"
"-122.43","37.79","500001","58543"
"-117.8","33.55","500001","58371.00000000001"
"-117.26","32.95","500001","58343"
"-122.46","37.75","500001","58151"
"-121.88","36.49","500001","58141.99999999999"
"-122.43","37.8","500001","57934"
"-117.19","32.76","500001","57914"
"-118.39","34.07","500001","57762"
"-118.06","33.72","500001","57704.00000000001"
"-116.55","33.84","500001","57613"
"-118.32","34.06","500001","57393"
"-118.38","33.81","500001","57361.00000000001"
"-117.72","33.49","500001","57281.00000000001"
"-118.45","33.96","500001","57230"
"-122.21","37.43","500001","57211"
"-118.04","34.12","500001","56916"
"-117.26","32.95","500001","56582"
"-118.42","34.04","500001","56454.00000000001"
"-118.44","33.96","500001","56435.00000000001"
"-118.39","33.83","500001","56369.99999999999"
"-117.89","33.6","500001","56336.00000000001"
"-118.58","34.17","500001","56327"
"-122.45","37.76","500001","56235"
"-119.64","34.43","500001","56230"
"-118.34","34.08","500001","55871.00000000001"
"-122.45","37.79","500001","55634"
"-118.37","34.06","500001","55596"
"-122.32","37.56","500001","55490.00000000001"
"-118.42","33.9","500001","55347"
"-118.41","34.06","500001","55321"
"-118.44","34.06","500001","55000"
"-122.07","37.34","500001","54659.00000000001"
"-118.51","34.16","500001","54609"
"-122.41","37.8","500001","54378"
"-117.86","33.65","500001","54284"
"-118.43","33.9","500001","54088"
"-119.61","34.45","500001","53963"
"-118.4","33.87","500001","53816"
"-117.26","32.85","500001","53787"
"-118.43","34.06","500001","53777"
"-118.41","34.01","500001","53682.99999999999"
"-118.44","33.98","500001","53359"
"-118.39","34.06","500001","53316"
"-117.17","32.69","500001","53177"
"-122.44","37.79","500001","53124"
"-117.86","33.63","500001","53099"
"-118.42","33.9","500001","53080"
"-118.29","34.11","500001","52960"
"-117.87","33.6","500001","52949"
"-122.46","37.79","500001","52909"
"-119.17","34.31","500001","52680.99999999999"
"-118.43","34.05","500001","52554.99999999999"
"-122.44","37.8","500001","52539"
"-118.41","33.88","500001","52533"
"-122.2","37.43","500001","52391"
"-121.74","37.35","500001","52327"
"-121.98","37.22","500001","52321"
"-118.4","33.87","500001","52319.00000000001"
"-118.39","34.05","500001","52220.00000000001"
"-117.32","33.51","500001","52066"
"-118.43","34.06","500001","51999.00000000001"
"-122.17","37.45","500001","51994.99999999999"
"-117.89","33.61","500001","51923"
"-118.07","33.72","500001","51824"
"-118.14","33.71","500001","51815"
"-122.48","37.73","500001","51681"
"-118.41","34.03","500001","51637.00000000001"
"-117.63","33.38","500001","51482"
"-118.9","34.14","500001","51457"
"-118.5","33.97","500001","51280"
"-117.91","33.6","500001","51048"
"-117.25","32.86","500001","51022.99999999999"
"-117.18","32.69","500001","51009"
"-118.52","34.02","500001","50867.00000000001"
"-122.11","37.38","500001","50804"
"-118.4","34.05","500001","50762"
"-118.41","33.89","500001","50496.99999999999"
"-118.11","33.73","500001","50476"
"-122.44","37.8","500001","50376"
"-122.09","37.36","500001","50222"
"-122.45","37.78","500001","50156"
"-118.42","34.05","500001","50151"
"-118.44","33.81","500001","50106"
"-117.89","33.61","500001","50000"
"-122.15","37.44","500001","49861.00000000001"
"-119.67","34.47","500001","49757"
"-122.35","37.57","500001","49700"
"-122.11","37.4","500001","49519"
"-122.42","37.8","500001","49211"
"-118.35","34.07","500001","48900"
"-118.44","34.05","500001","48618"
"-118.11","33.74","500001","48482"
"-119.39","34.32","500001","48472"
"-118.42","34.05","500001","48304"
"-118.52","34.05","500001","48250"
"-118.49","34.04","500001","48125"
"-118.47","34.06","500001","48010"
"-117.91","33.61","500001","48000"
"-122.4","37.8","500001","47750"
"-122.47","37.79","500001","47500"
"-122.43","37.76","500001","47500"
"-122.37","37.58","500001","47404"
"-118.15","34.13","500001","47298"
"-118.4","33.86","500001","47105"
"-122.26","37.55","500001","47045"
"-118.47","34.05","500001","47009"
"-118.43","34.01","500001","47009"
"-122.45","37.76","500001","46912"
"-122.21","37.44","500001","46908"
"-122.43","37.81","500001","46781"
"-121.76","37.26","500001","46458.00000000001"
"-122.32","37.55","500001","46406"
"-122.44","37.8","500001","46250"
"-119.64","34.43","500001","46250"
"-118.13","33.79","500001","46133"
"-118.43","33.82","500001","46048"
"-122.42","37.8","500001","45913.00000000001"
"-119.04","34.28","500001","45833.00000000001"
"-118.39","33.82","500001","45817"
"-117.93","33.62","500001","45658"
